,SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA
0,C1[C@@H]2CO[C@@H](O2)CC1=O,mol0,OK,128.12699999999998,0.09079999999999999,0,3,35.53
1,c1cc(c(cc1O)[C@H]2CCN2)Br,mol1,Filter9_metal > 0,228.08899999999997,2.1891,2,2,32.26
2,CCOC(=O)c1cc(ncc1C#N)C,mol2,OK,190.202,1.4384,0,4,62.98
3,Cc1ccccc1c2nc(on2)/C(=C/c3ccc(cc3)C#N)/C#N,mol3,OK,312.33200000000005,3.9808800000000026,0,5,86.5
4,c1ccc2c(c1)OCS2,mol4,OK,138.19099999999997,2.1286000000000005,0,2,9.23
5,c1csc(c1Br)[C@H](CC#N)N,mol5,Filter9_metal > 0,231.118,2.42408,1,3,49.81
6,COc1cccc(c1)N2CCCNCC2,mol6,OK,206.28899999999993,1.4949,1,3,24.5
7,Cc1ccc(c(c1)C)/C=N/Nc2ccnc3c2ccc(c3)Cl,mol7,OK,309.80000000000007,4.951040000000003,1,3,37.28
8,Cc1ccc(cc1)Nc2c3c(ncn2)CC[N@](CC3)S(=O)(=O)C,mol8,OK,332.42900000000003,1.88882,1,5,75.19
9,c1ccn2c(c1)nnc2c3cccc(c3)O,mol9,OK,211.22400000000002,2.1019,1,4,50.42
10,c1cc(oc1)C(=O)ON=C2C3CC4CC(C3)CC2C4,mol10,Filter18_oxime_ester > 0,259.305,3.2485000000000017,0,4,51.8
11,CC(C)(C#N)N=NC(=O)N,mol11,Filter5_azo > 0,140.146,0.81948,1,3,91.6
12,c1cc(c(c(c1)C(F)(F)F)Cl)[C@H]2CCN2,mol12,OK,235.63599999999997,3.393200000000001,1,1,12.03
13,c1c(nc(cn1)Cl)SC(F)(F)F,mol13,OK,214.59899999999996,2.7419000000000002,0,3,25.78
14,CCOc1cc(ccc1Cl)C(F)(F)F,mol14,OK,224.60899999999995,3.757500000000001,0,1,9.23
15,c1c(cc(cc1OC(F)(F)F)F)CBr,mol15,Filter6_benzyl_halide > 0,273.02299999999997,3.619200000000001,0,1,9.23
16,Cc1c(c(c([nH]1)C(=O)O)C(C)C)C(=O)C,mol16,OK,209.24499999999998,2.3473200000000007,2,2,70.16
17,Cc1ccncc1C(=O)C,mol17,OK,135.166,1.59262,0,2,29.96
18,c1cc(c(cc1Cl)[C@@H]2CCN2)Br,mol18,Filter9_metal > 0,246.53499999999997,3.1369000000000016,1,1,12.03
19,Cc1cc(cc(c1)Br)OC(F)(F)F,mol19,Filter9_metal > 0,255.03299999999996,3.6561200000000005,0,1,9.23
20,c1cc(ccc1O)OC(C(F)F)(F)F,mol20,OK,210.12599999999995,2.6289,1,2,29.46
21,Cc1cc(ccc1CC(=O)N2CC[C@H]3[C@H](C2)C[C@@H](O3)C)F,mol21,OK,291.366,2.7025200000000007,0,2,29.540000000000003
22,c1cc(c(cc1C(=O)CBr)Cl)F,mol22,Filter4_alpha_halo_carbonyl > 0,251.48199999999997,3.0567,0,1,17.07
23,Cn1cnnc1C[N@]2CC[C@@]3(C2)CCCN(C3=O)C4CCCCC4,mol23,OK,331.46400000000017,1.9622999999999993,0,5,54.260000000000005
24,CN1CCN(Cc2c1nccc2)C(=O)NC3CC3,mol24,OK,246.314,1.2053999999999998,1,3,48.47
25,Cn1cnnc1c2cc(cnc2)O,mol25,OK,176.179,0.5826999999999998,1,5,63.83
26,CN1CCC[C@]2(C1=O)CCN(C2)C(=O)CSC,mol26,OK,256.3709999999999,0.8203,0,3,40.620000000000005
27,c1cc(sc1)C/C(=N/O)/N,mol27,OK,156.20999999999998,1.037,2,3,58.61
28,c1ccc(cc1)OC(Cl)(Cl)Cl,mol28,OK,211.47499999999997,3.3931000000000004,0,1,9.23
29,c1c(c(cnc1Cl)C(=O)O)I,mol29,Filter9_metal > 0,283.452,2.0378,1,2,50.19
30,c1cc(c(cc1Br)[N@]2CCC[C@H]2C(=O)O)[N+](=O)[O-],mol30,Filter9_metal > 0,315.123,2.4107000000000003,1,4,83.68
31,c1ccc(c(c1)/C=N/c2ccc(c(c2)C(=O)O)O)Cl,mol31,OK,275.691,3.494400000000001,2,3,69.89
32,Cc1c(c(ccc1C(=O)OC)Br)C,mol32,Filter9_metal > 0,243.09999999999997,2.852540000000001,0,2,26.3
33,Cn1c2ccccc2nc1N/N=C\3/CCCOc4c3ccc(c4)Br,mol33,Filter9_metal > 0,385.265,4.324600000000003,1,5,51.44
34,Cn1ccc(n1)NC(=O)N2CCCC3(C2)CCCCCC3,mol34,OK,290.411,3.3884000000000025,1,3,50.160000000000004
35,c1c(cc(c(c1F)[C@@H]2CCN2)F)Br,mol35,Filter9_metal > 0,248.07,2.761700000000001,1,1,12.03
36,c1c(c(c(c(c1F)F)F)F)C(=O)C2CC2,mol36,OK,218.14899999999994,2.835700000000001,0,1,17.07
37,c1c(c(cc(c1Cl)Cl)OC(Cl)(Cl)Cl)[N+](=O)[O-],mol37,OK,325.362,4.608099999999999,0,3,52.370000000000005
38,c1cc(c(cc1OC(Cl)(Cl)Cl)C(F)(F)F)Cl,mol38,OK,313.91700000000003,5.065300000000001,0,1,9.23
39,c1ccc2c(c1)ccc(n2)/C=N/c3ccccc3Cl,mol39,OK,266.731,4.6388000000000025,0,2,25.25
